Default channel group,Date+hour,Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count
Direct,2024-01-02 01:00:00,2,5,4,583.97,2.37,6.12,0.13,1
Referral,2024-01-02 02:00:00,2,3,3,414.52,4.41,6.14,0.33,8
Email,2024-01-02 03:00:00,2,5,5,433.15,3.52,3.18,0.96,7
Paid Search,2024-01-02 04:00:00,4,2,2,495.79,3.45,2.49,0.83,19
Paid Search,2024-01-02 05:00:00,4,2,2,556.02,3.65,4.22,0.92,19
Display,2024-01-02 06:00:00,1,2,4,173.64,4.63,6.7,0.58,19
Paid Search,2024-01-02 07:00:00,1,4,1,391.1,2.18,4.35,0.29,3
Email,2024-01-02 08:00:00,4,5,3,253.26,2.61,4.46,0.73,10
Email,2024-01-02 09:00:00,2,5,1,145.38,0.86,9.16,0.83,10
Social,2024-01-02 10:00:00,2,3,5,123.35,1.76,5.42,0.1,1
Organic Search,2024-01-02 11:00:00,1,1,4,67.84,1.91,5,0.16,13
Affiliates,2024-01-02 12:00:00,4,2,4,510.57,4.96,3.11,0.92,11
Paid Search,2024-01-02 13:00:00,1,2,2,16.74,2.36,8.07,0.21,4
Display,2024-01-02 14:00:00,1,3,5,596.88,1.35,1.68,0.67,14
Paid Search,2024-01-02 15:00:00,3,5,2,579.16,4.72,7.41,1,19
Social,2024-01-02 16:00:00,3,4,1,323.15,2.48,7.24,0.46,14
Email,2024-01-02 17:00:00,3,5,4,448.24,1.7,1.19,0.75,12
Referral,2024-01-02 18:00:00,2,4,4,280.4,4.43,9.16,0.83,17
Paid Search,2024-01-02 19:00:00,4,4,3,139.53,3.11,1.52,0.25,1
Organic Search,2024-01-02 20:00:00,4,5,1,446.05,3.36,7.97,0.32,9
Referral,2024-01-02 21:00:00,4,2,5,274.55,1.78,6.59,0.8,6
Social,2024-01-02 22:00:00,4,4,3,521.02,3.53,4.29,0.47,4
Paid Search,2024-01-02 23:00:00,3,3,4,517.68,4.29,5.75,0.6,9
Referral,2024-01-03 00:00:00,2,3,5,575.4,3.33,4.59,0.63,8
Paid Search,2024-01-03 01:00:00,2,4,2,422.09,3.82,7.84,0.52,4
Display,2024-01-03 02:00:00,3,2,1,300.51,1.84,2.09,0.47,15
Social,2024-01-03 03:00:00,2,4,2,340.94,4.81,7.86,0.58,17
Affiliates,2024-01-03 04:00:00,3,3,4,221.7,3.78,6.91,0.76,2
Email,2024-01-03 05:00:00,4,3,3,399.06,1.51,5.86,0.9,11
Direct,2024-01-03 06:00:00,3,5,2,64.41,1.61,4.04,0.34,9
Email,2024-01-03 07:00:00,4,2,4,595.07,4.72,8.78,0.23,8
Email,2024-01-03 08:00:00,4,5,2,47.27,2.51,7.84,0.82,3
Referral,2024-01-03 09:00:00,1,1,1,365.55,1.99,7.12,0.85,2
Social,2024-01-03 10:00:00,3,4,2,181.48,2.61,1.85,0.37,2
Paid Search,2024-01-03 11:00:00,1,5,1,495.08,2.25,5.32,0.28,2
Direct,2024-01-03 12:00:00,3,2,1,381.65,3.71,2.24,0.22,1
Referral,2024-01-03 13:00:00,3,4,5,368.35,2.15,2.03,0.71,17
Direct,2024-01-03 14:00:00,1,4,3,451.65,0.76,7.9,0.48,17
Affiliates,2024-01-03 15:00:00,1,4,2,79.67,0.57,9.28,0.32,18
Display,2024-01-03 16:00:00,3,4,4,193.92,4.95,4.37,0.88,9
Social,2024-01-03 17:00:00,2,4,5,308.47,3.62,9.96,0.46,13
Referral,2024-01-03 18:00:00,4,2,3,198.78,1.57,8.3,0.69,5
Email,2024-01-03 19:00:00,1,1,5,74.99,3.51,1.02,0.1,18
Organic Search,2024-01-03 20:00:00,4,3,2,192.64,4.49,2.87,0.34,18
Referral,2024-01-03 21:00:00,2,1,2,280.46,3.78,3.24,0.49,18
Organic Search,2024-01-03 22:00:00,2,3,2,97.2,3.71,5.36,0.45,17
Email,2024-01-03 23:00:00,2,5,3,400.48,3.5,2.64,0.4,10
Display,2024-01-04 00:00:00,1,4,5,52.86,3.98,1.27,0.51,11
Social,2024-01-04 01:00:00,2,5,4,536.05,2.69,2.59,0.86,15
Paid Search,2024-01-04 02:00:00,1,5,5,224.1,1.28,5.85,0.11,4
Referral,2024-01-04 03:00:00,2,3,3,221.76,1.7,7.06,0.86,8
Email,2024-01-04 04:00:00,4,2,1,133.8,3.48,4.21,0.87,11
Referral,2024-01-04 05:00:00,4,4,1,294.34,1.3,1.35,0.21,4
Affiliates,2024-01-04 06:00:00,3,5,1,500.98,1.5,3.5,0.92,17
Display,2024-01-04 07:00:00,4,1,4,356.18,4.07,4.58,0.7,12
Affiliates,2024-01-04 08:00:00,3,4,3,487.99,2.85,2.14,0.17,11
Direct,2024-01-04 09:00:00,4,2,3,581.58,0.71,9.44,0.14,17
Social,2024-01-04 10:00:00,1,4,1,378.91,3.01,5.51,0.83,9
Direct,2024-01-04 11:00:00,4,5,3,109.51,1.77,6.91,0.75,7
Referral,2024-01-04 12:00:00,3,1,3,188.63,1.91,4.28,0.64,4
Social,2024-01-04 13:00:00,3,5,2,400.22,1.26,5.9,1,7
Display,2024-01-04 14:00:00,2,2,4,471.39,1.31,2.11,0.84,4
Display,2024-01-04 15:00:00,1,3,3,396.19,2.84,4.67,0.52,5
Email,2024-01-04 16:00:00,4,1,1,351.58,2.68,4.18,0.9,5
Referral,2024-01-04 17:00:00,2,2,5,556.9,2.73,2.01,0.91,4
Direct,2024-01-04 18:00:00,4,2,5,302.96,1.56,5.49,0.24,9
Affiliates,2024-01-04 19:00:00,4,5,4,403.33,3.2,5.36,0.1,12
Paid Search,2024-01-04 20:00:00,2,5,3,194.28,3.7,5.5,0.32,11
Organic Search,2024-01-04 21:00:00,2,5,2,239.42,4.74,9.04,0.61,12
Paid Search,2024-01-04 22:00:00,2,3,3,148.32,4.62,4.69,0.37,14
Direct,2024-01-04 23:00:00,2,4,1,482.15,4.45,6.67,0.1,16
Direct,2024-01-05 00:00:00,2,4,3,127.49,1.36,5.64,0.14,7
Display,2024-01-05 01:00:00,4,5,5,147.09,4.45,1.23,0.64,9
Paid Search,2024-01-05 02:00:00,2,5,5,73.24,1.78,9.82,0.43,14
Display,2024-01-05 03:00:00,1,3,4,443.41,1.82,9.28,0.73,3
Display,2024-01-05 04:00:00,3,4,1,54.8,2.26,1.58,0.94,4
Affiliates,2024-01-05 05:00:00,2,3,4,45.18,0.52,3.54,0.35,17
Social,2024-01-05 06:00:00,2,2,3,378.9,3.56,2.41,0.51,16
Organic Search,2024-01-05 07:00:00,4,4,2,231.55,2.74,2.47,0.68,13
Paid Search,2024-01-05 08:00:00,2,5,4,556.97,3.12,5.27,0.69,2
Social,2024-01-05 09:00:00,2,1,5,527.51,3.87,4.72,0.17,16
Email,2024-01-05 10:00:00,2,2,1,303.09,4.37,5.97,0.49,14
Paid Search,2024-01-05 11:00:00,4,1,3,58.41,0.64,7.93,0.24,2
Social,2024-01-05 12:00:00,2,3,1,334.71,4.45,3.47,0.78,9
Display,2024-01-05 13:00:00,3,3,1,596.66,3.81,4.69,0.97,10
Direct,2024-01-05 14:00:00,4,3,1,399.62,3.79,9.34,0.76,17
Affiliates,2024-01-05 15:00:00,3,5,5,478.54,0.72,8.81,0.86,3
Organic Search,2024-01-05 16:00:00,4,3,2,248.1,0.71,9.17,0.88,6
Social,2024-01-05 17:00:00,2,1,4,53.92,1.05,7.8,0.49,18
Direct,2024-01-05 18:00:00,3,2,5,564.49,4.71,1.82,0.11,12
Paid Search,2024-01-05 19:00:00,4,5,2,204.5,2.91,9.12,0.16,14
Social,2024-01-05 20:00:00,1,2,3,99.25,1.14,1.29,0.96,14
Referral,2024-01-05 21:00:00,2,3,4,101.66,0.52,7.24,0.26,3
Direct,2024-01-05 22:00:00,4,4,2,90.31,1.65,2.74,0.22,19
Email,2024-01-05 23:00:00,1,5,3,263.45,4.64,2.41,0.92,17
Direct,2024-01-06 00:00:00,4,3,4,517.42,3.97,4.68,0.68,8
Organic Search,2024-01-06 01:00:00,1,5,3,96.88,2.61,6.65,0.17,18
Email,2024-01-06 02:00:00,2,4,5,455.67,2.93,1.27,0.54,4
Affiliates,2024-01-06 03:00:00,3,1,3,52.76,3.55,9.18,0.37,2
Organic Search,2024-01-06 04:00:00,1,1,1,81.09,2.22,7.76,0.94,3
Paid Search,2024-01-06 05:00:00,4,1,5,78.58,1.98,4.89,0.57,16
Email,2024-01-06 06:00:00,2,4,3,314.68,2.75,3.04,0.24,7
Social,2024-01-06 07:00:00,1,2,5,528.99,1.02,7.07,0.93,10
Referral,2024-01-06 08:00:00,4,4,4,449.05,0.78,8.95,0.16,12
Organic Search,2024-01-06 09:00:00,4,4,1,519.73,1.96,7,0.34,9
Referral,2024-01-06 10:00:00,4,3,1,519.83,2.96,5.19,0.69,4
Paid Search,2024-01-06 11:00:00,1,1,3,77.42,2.48,7.55,0.71,10
Paid Search,2024-01-06 12:00:00,1,5,4,335.16,4.15,3.45,0.17,10
Affiliates,2024-01-06 13:00:00,1,2,5,475.46,2.81,1.97,0.53,4
Paid Search,2024-01-06 14:00:00,3,5,3,570.27,3.83,3.11,0.86,16
Direct,2024-01-06 15:00:00,1,3,2,413.64,2.83,4.05,0.86,15
Direct,2024-01-06 16:00:00,1,3,3,515.35,3.48,2.3,0.12,16
Affiliates,2024-01-06 17:00:00,1,2,2,229.35,3.68,1.06,0.74,6
Direct,2024-01-06 18:00:00,3,5,1,426.48,0.66,7.11,0.21,9
Social,2024-01-06 19:00:00,1,2,3,228.54,3.11,4.59,0.75,17
Display,2024-01-06 20:00:00,4,2,3,124.93,0.7,4.74,0.84,13
Referral,2024-01-06 21:00:00,1,1,1,48.5,0.99,6.45,0.83,9
Referral,2024-01-06 22:00:00,4,5,5,531.87,2.7,5.81,0.69,14
Social,2024-01-06 23:00:00,4,1,3,48.06,3.36,8.86,0.86,8
Display,2024-01-07 00:00:00,4,1,4,599.82,4.78,5.28,0.91,15
Email,2024-01-07 01:00:00,3,1,1,311.31,3.91,9.77,0.17,10
Affiliates,2024-01-07 02:00:00,3,4,5,307.26,3.54,7.62,0.93,5
Affiliates,2024-01-07 03:00:00,3,3,1,53.36,4.52,9.92,0.73,3
Paid Search,2024-01-07 04:00:00,1,3,1,54.02,4.43,6.97,0.14,6
Referral,2024-01-07 05:00:00,4,4,5,433.7,3.28,1.29,0.3,11
Referral,2024-01-07 06:00:00,3,2,5,271.28,1.11,3.76,0.17,2
Paid Search,2024-01-07 07:00:00,3,5,5,114.78,3.39,3.51,0.18,7
Email,2024-01-07 08:00:00,1,5,4,129.49,3.01,8.8,0.42,13
Organic Search,2024-01-07 09:00:00,3,5,2,146.72,1.94,8.14,0.64,18
Referral,2024-01-07 10:00:00,1,1,1,488.13,0.6,8.98,0.59,17
Referral,2024-01-07 11:00:00,2,5,3,370.86,2.86,2.72,0.42,5
Organic Search,2024-01-07 12:00:00,3,5,2,52.63,2.46,6.17,0.87,10
Paid Search,2024-01-07 13:00:00,2,5,3,417.48,0.55,6.06,0.55,14
Organic Search,2024-01-07 14:00:00,1,3,3,316.69,2.76,8.9,0.16,4
Referral,2024-01-07 15:00:00,4,4,3,352.07,1.97,1.45,0.48,15
Paid Search,2024-01-07 16:00:00,3,2,4,188.3,1.21,6.55,0.79,18
Organic Search,2024-01-07 17:00:00,1,4,4,20.53,0.64,4.03,0.63,8
Email,2024-01-07 18:00:00,4,5,2,310.15,2.18,8.57,0.29,8
Paid Search,2024-01-07 19:00:00,4,2,5,361.13,1.02,8.77,0.79,8
Referral,2024-01-07 20:00:00,2,2,4,390.7,4.15,1.77,0.9,10
Social,2024-01-07 21:00:00,1,4,1,270.87,4.05,3.42,0.69,7
Affiliates,2024-01-07 22:00:00,4,4,2,340.82,2.86,1.71,0.84,15
Referral,2024-01-07 23:00:00,3,4,1,330.95,1.9,1.06,0.59,18
Direct,2024-01-08 00:00:00,3,4,3,228.06,1.73,7.76,0.95,5
Affiliates,2024-01-08 01:00:00,2,1,1,486.67,0.87,3.74,0.22,14
Referral,2024-01-08 02:00:00,4,3,4,265.59,2.06,4.98,0.83,7
Affiliates,2024-01-08 03:00:00,1,3,1,150,4.67,8.74,0.28,14
Display,2024-01-08 04:00:00,3,5,3,15.28,4.95,8.27,0.31,11
Referral,2024-01-08 05:00:00,4,1,3,179.47,0.78,5.11,0.74,1
Paid Search,2024-01-08 06:00:00,4,2,4,71.03,1.33,6.66,0.58,11
Paid Search,2024-01-08 07:00:00,2,4,2,305.69,2.47,9.62,0.16,18
Display,2024-01-08 08:00:00,3,5,5,235.06,4.16,2.05,0.53,11
Email,2024-01-08 09:00:00,3,2,2,158.12,2.76,8.71,0.18,18
Display,2024-01-08 10:00:00,1,3,5,86.26,0.66,2.7,0.16,9
Display,2024-01-08 11:00:00,3,2,4,485.34,2.82,7.47,0.32,12
Affiliates,2024-01-08 12:00:00,1,4,4,591.04,3.04,1.27,0.54,8
Organic Search,2024-01-08 13:00:00,3,4,4,518.28,2.88,3.94,0.52,7
Paid Search,2024-01-08 14:00:00,2,3,3,474.2,4.5,4.73,0.73,8
Organic Search,2024-01-08 15:00:00,3,4,2,323.41,2.34,3.23,0.98,18
Display,2024-01-08 16:00:00,1,1,5,502.98,1,5.58,0.21,18
Email,2024-01-08 17:00:00,1,5,2,325.14,2.77,8.51,0.2,18
Paid Search,2024-01-08 18:00:00,2,3,5,199.99,1.51,8.66,0.32,7
Referral,2024-01-08 19:00:00,3,3,1,143.44,0.64,1.52,0.83,13
Referral,2024-01-08 20:00:00,3,2,2,137.39,3.53,3.41,0.41,10
Referral,2024-01-08 21:00:00,2,3,1,279.13,2.61,5.24,0.84,7
Affiliates,2024-01-08 22:00:00,3,5,4,386.63,1.63,7.69,0.92,6
Direct,2024-01-08 23:00:00,3,1,3,99.7,0.71,8.84,0.4,18
Display,2024-01-09 00:00:00,1,2,3,17.18,2.54,5.25,0.54,14
Direct,2024-01-09 01:00:00,3,5,2,23.45,1.22,5.41,0.88,17
Social,2024-01-09 02:00:00,3,3,1,191.87,2.91,6.43,0.45,18
Affiliates,2024-01-09 03:00:00,2,4,1,435.21,4.84,6.69,0.85,16
Referral,2024-01-09 04:00:00,2,4,5,12.24,3.33,2.77,0.21,8
Paid Search,2024-01-09 05:00:00,4,5,2,285.73,2.01,2.85,0.18,3
Affiliates,2024-01-09 06:00:00,1,1,2,185.46,1.52,1.97,0.28,9
Paid Search,2024-01-09 07:00:00,3,4,1,549.23,2.04,5.17,0.55,5
Organic Search,2024-01-09 08:00:00,3,5,1,575.65,3.36,5.26,0.66,3
Organic Search,2024-01-09 09:00:00,4,2,3,245.25,0.88,4.94,0.34,2
Paid Search,2024-01-09 10:00:00,3,3,2,586.6,1.2,5.49,0.46,12
Referral,2024-01-09 11:00:00,1,1,3,582.92,2.65,7.35,0.83,16
Direct,2024-01-09 12:00:00,4,1,4,349.89,4.81,9.84,0.92,5
Display,2024-01-09 13:00:00,1,2,4,237.41,4.74,2.3,0.65,8
Affiliates,2024-01-09 14:00:00,4,1,1,72.3,0.51,5.13,0.54,4
Affiliates,2024-01-09 15:00:00,4,5,5,336.62,3.03,2.9,0.45,17
Referral,2024-01-09 16:00:00,2,1,1,502.58,1.74,2.13,0.47,17
Display,2024-01-09 17:00:00,1,1,2,243.56,0.69,8.33,0.71,5
Organic Search,2024-01-09 18:00:00,3,1,1,308.13,3.67,3.42,0.66,6
Direct,2024-01-09 19:00:00,3,5,3,245.02,3.61,7.72,0.87,5
Display,2024-01-09 20:00:00,1,3,1,425.13,2.7,7.62,0.29,4
Organic Search,2024-01-09 21:00:00,3,4,3,335,3.06,6.92,0.94,3
Display,2024-01-09 22:00:00,3,1,4,313.25,1.55,4.14,0.36,14
Social,2024-01-09 23:00:00,1,2,3,138.46,2.93,1.72,0.61,9
Affiliates,2024-01-10 00:00:00,4,2,2,359.92,0.57,3.06,0.76,13
Social,2024-01-10 01:00:00,1,5,1,301.88,3.5,6.61,0.54,12
Display,2024-01-10 02:00:00,4,3,2,424.27,0.59,9.46,0.81,18
Affiliates,2024-01-10 03:00:00,3,1,3,383.06,2.23,3.98,0.54,9
Direct,2024-01-10 04:00:00,3,5,3,183.37,1.4,9.02,0.1,16
Referral,2024-01-10 05:00:00,3,4,3,381.63,3.25,2.64,0.5,1
Social,2024-01-10 06:00:00,2,3,3,460.76,1.36,6.12,0.51,5
Referral,2024-01-10 07:00:00,4,3,3,394.14,1.83,1.38,0.79,12
Organic Search,2024-01-10 08:00:00,2,5,1,304.82,4.26,3.51,0.85,12
Organic Search,2024-01-10 09:00:00,2,2,5,399.97,4.13,8.57,0.48,6
Email,2024-01-10 10:00:00,1,3,2,289.18,1.8,8.89,0.81,8
Organic Search,2024-01-10 11:00:00,2,2,4,210.18,1.19,9.67,0.61,3
Organic Search,2024-01-10 12:00:00,1,3,4,376.78,2.34,5.05,0.79,11
Affiliates,2024-01-10 13:00:00,1,3,2,21.23,0.98,7.7,0.77,10
Direct,2024-01-10 14:00:00,2,3,1,64.79,3.98,9.23,0.91,10
Organic Search,2024-01-10 15:00:00,4,4,2,118.06,0.9,1.66,0.81,15
Paid Search,2024-01-10 16:00:00,4,2,3,587.63,1.86,1.6,0.77,3
Direct,2024-01-10 17:00:00,4,4,5,179.07,4.47,2.96,0.21,19
Paid Search,2024-01-10 18:00:00,4,2,2,305.08,1.46,4.47,0.26,15
Paid Search,2024-01-10 19:00:00,4,4,1,346.18,2.15,7.63,0.5,17
Referral,2024-01-10 20:00:00,2,4,3,17.62,3.27,4.17,0.78,16
Display,2024-01-10 21:00:00,2,4,2,55.23,1.09,5.15,0.38,5
Paid Search,2024-01-10 22:00:00,3,5,2,102.01,4.24,4.68,0.21,15
Referral,2024-01-10 23:00:00,4,4,3,138.54,4.52,4.17,0.78,11
Organic Search,2024-01-11 00:00:00,2,3,1,52.9,4.04,5.02,0.79,6
Paid Search,2024-01-11 01:00:00,3,1,5,393.79,3.28,9.1,0.6,15
Display,2024-01-11 02:00:00,4,4,5,80.56,3.61,2.29,0.32,14
Email,2024-01-11 03:00:00,1,1,3,538.07,4.69,10,0.76,17
Social,2024-01-11 04:00:00,3,1,4,306.88,4.13,2,0.53,8
Referral,2024-01-11 05:00:00,2,3,1,120.31,4.66,9.56,0.97,17
Email,2024-01-11 06:00:00,1,1,4,146.52,4.7,2.06,0.31,17
Referral,2024-01-11 07:00:00,1,1,4,391.59,3.12,4.61,0.48,14
Social,2024-01-11 08:00:00,1,1,4,76.61,1.43,1.9,0.84,7
Display,2024-01-11 09:00:00,3,2,1,36.42,1.75,2.42,0.78,15
Direct,2024-01-11 10:00:00,2,4,4,481.7,4.73,3.77,0.97,1
Social,2024-01-11 11:00:00,1,4,3,300.31,3.65,6.71,0.69,9
Affiliates,2024-01-11 12:00:00,4,1,2,511.47,1.86,3.97,0.72,13
Email,2024-01-11 13:00:00,1,3,3,570.76,4.4,9.76,0.83,10
Paid Search,2024-01-11 14:00:00,1,2,2,278.02,4.72,1.53,0.58,17
Organic Search,2024-01-11 15:00:00,3,3,5,189.03,3.87,2.34,0.51,17
Affiliates,2024-01-11 16:00:00,3,3,4,228.44,1.22,9.64,0.85,6
Paid Search,2024-01-11 17:00:00,2,1,5,537,0.82,5.82,0.89,5
Paid Search,2024-01-11 18:00:00,4,5,5,599.1,1.47,7.46,0.8,11
Referral,2024-01-11 19:00:00,3,1,1,234.95,4.61,7.69,0.92,6
Social,2024-01-11 20:00:00,1,5,4,579.08,2.08,3.99,0.29,4
Direct,2024-01-11 21:00:00,2,2,5,308.19,4.19,3.53,0.87,9
Email,2024-01-11 22:00:00,1,5,2,31.62,4.55,2.78,0.85,14
Paid Search,2024-01-11 23:00:00,1,1,2,129.52,0.64,3.19,0.58,17
Referral,2024-01-12 00:00:00,3,1,1,238.48,4.59,4.32,0.27,15
Email,2024-01-12 01:00:00,2,3,5,218.94,3.25,1.93,0.58,6
Social,2024-01-12 02:00:00,4,1,5,489.73,3.17,7.78,0.25,12
Direct,2024-01-12 03:00:00,4,1,5,474.58,1.92,7.91,0.32,1
Affiliates,2024-01-12 04:00:00,3,4,1,84.5,0.9,8.67,0.8,10
Social,2024-01-12 05:00:00,3,4,4,43.56,3.75,4.27,0.52,1
Organic Search,2024-01-12 06:00:00,2,3,5,428.81,1.68,9.98,0.35,19
Social,2024-01-12 07:00:00,4,5,5,261.11,2.63,8.73,0.88,7
Paid Search,2024-01-12 08:00:00,4,5,3,111.29,1.67,7.32,0.34,18
Direct,2024-01-12 09:00:00,4,4,2,60.97,2.64,3.84,0.47,9
Social,2024-01-12 10:00:00,1,2,4,136.33,2.37,8.35,0.43,9
Paid Search,2024-01-12 11:00:00,4,4,4,575.38,3.07,8.57,0.17,1
Paid Search,2024-01-12 12:00:00,1,2,4,61.36,3.28,9.52,0.51,15
Direct,2024-01-12 13:00:00,2,5,5,334.95,2.16,8.11,0.76,6
Social,2024-01-12 14:00:00,1,4,3,25.45,3.61,1.51,0.36,7
Social,2024-01-12 15:00:00,2,1,4,543,2.93,4.91,0.46,2
Referral,2024-01-12 16:00:00,4,2,1,312.06,1.56,6,0.23,14
Email,2024-01-12 17:00:00,4,2,1,563.07,1.08,1.09,0.39,15
Referral,2024-01-12 18:00:00,2,2,2,201.55,2.03,5.9,0.25,5
Social,2024-01-12 19:00:00,3,5,3,249.08,4.59,9.66,0.93,13
Affiliates,2024-01-12 20:00:00,2,3,4,452.24,2.55,3.81,0.2,9
Social,2024-01-12 21:00:00,3,1,3,565.74,3.83,9.13,0.31,17
Organic Search,2024-01-12 22:00:00,1,4,1,92.63,3.77,6.06,0.84,12
Paid Search,2024-01-12 23:00:00,1,2,4,244.69,4.75,4.37,0.36,7
Display,2024-01-13 00:00:00,1,5,5,582.65,0.89,5.78,0.72,16
Social,2024-01-13 01:00:00,4,2,1,202.25,3.72,5.94,0.62,18
Organic Search,2024-01-13 02:00:00,1,4,2,562.79,4.06,9.22,0.34,17
Organic Search,2024-01-13 03:00:00,3,1,4,375.89,4.46,5.25,0.88,18
Email,2024-01-13 04:00:00,1,2,2,293.63,2.86,5.39,0.4,3
Direct,2024-01-13 05:00:00,2,5,3,205.87,1.06,7.92,0.66,3
Social,2024-01-13 06:00:00,2,5,2,310.37,0.82,9,0.14,3
Direct,2024-01-13 07:00:00,4,3,2,395.74,0.94,6.5,0.88,9
Affiliates,2024-01-13 08:00:00,2,5,5,429.27,1.45,6.74,0.52,8
Display,2024-01-13 09:00:00,3,3,2,55.02,0.79,7.77,0.59,14
Organic Search,2024-01-13 10:00:00,1,1,5,387.8,1.91,3.22,0.41,14
Paid Search,2024-01-13 11:00:00,4,4,2,536.53,3.67,5.96,0.43,16
Paid Search,2024-01-13 12:00:00,1,3,5,261.87,3.37,6.06,0.23,10
Direct,2024-01-13 13:00:00,1,2,1,157.8,3.97,1.75,0.92,3
Organic Search,2024-01-13 14:00:00,3,2,5,422.57,2.38,7.71,0.35,14
Email,2024-01-13 15:00:00,2,4,1,77.13,4.25,9.78,0.13,8
Direct,2024-01-13 16:00:00,2,5,1,560.33,3.12,9.82,0.74,19
Display,2024-01-13 17:00:00,1,2,4,312.69,2.07,5.21,0.61,9
Direct,2024-01-13 18:00:00,4,3,1,400.38,0.79,3.16,0.24,13
Organic Search,2024-01-13 19:00:00,2,4,4,217.97,1.58,6.41,0.97,6
Social,2024-01-13 20:00:00,4,2,5,263.76,2.37,5.8,0.57,4
Email,2024-01-13 21:00:00,2,5,3,350.41,1.98,1.95,0.73,17
Organic Search,2024-01-13 22:00:00,4,5,4,592.45,1.71,3.86,0.79,18
Email,2024-01-13 23:00:00,3,2,3,424.4,1.35,4.65,0.81,19
Referral,2024-01-14 00:00:00,4,4,5,561.55,3.71,4.82,0.96,12
Referral,2024-01-14 01:00:00,3,1,4,573.64,2.67,8.32,0.13,15
Paid Search,2024-01-14 02:00:00,3,2,5,470.75,3.66,8.69,0.77,9
Email,2024-01-14 03:00:00,4,5,3,34.29,2.97,2.73,0.43,8
Display,2024-01-14 04:00:00,3,1,5,169.49,1.59,3.81,0.27,2
Direct,2024-01-14 05:00:00,1,4,3,486,4.45,3.28,0.57,2
Referral,2024-01-14 06:00:00,3,5,1,18.06,0.7,9.83,0.8,9
Direct,2024-01-14 07:00:00,2,4,3,296.44,4.27,4.48,0.34,17
Direct,2024-01-14 08:00:00,4,2,3,462.09,3.76,4.61,0.6,19
Display,2024-01-14 09:00:00,1,4,1,559.25,4.81,7.63,0.95,12
Organic Search,2024-01-14 10:00:00,4,5,4,270.22,1.73,4,0.47,19
Direct,2024-01-14 11:00:00,2,2,2,499.24,1.07,2.53,0.19,1
Email,2024-01-14 12:00:00,2,5,4,279.35,3.35,9.84,0.7,1
Display,2024-01-14 13:00:00,2,5,2,94.12,3.3,8.03,0.21,7
Referral,2024-01-14 14:00:00,3,1,1,279.6,4.23,9.95,0.35,12
Social,2024-01-14 15:00:00,3,3,4,270.68,2.47,5.64,0.86,8
Direct,2024-01-14 16:00:00,4,4,5,319.55,3.19,8.93,0.43,1
Paid Search,2024-01-14 17:00:00,4,4,5,558.99,3.28,5.44,0.42,1
Display,2024-01-14 18:00:00,1,1,4,374.73,0.84,1.82,0.3,17
Organic Search,2024-01-14 19:00:00,1,4,5,63.09,1.19,5.47,0.76,1
Affiliates,2024-01-14 20:00:00,4,1,1,264.13,1.96,5.37,0.39,15
Referral,2024-01-14 21:00:00,3,4,5,278.89,1.01,5.22,0.78,17
Referral,2024-01-14 22:00:00,2,4,5,497.36,2.62,4.36,0.62,7
